type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11082895,-71.53323476,41.11082895,-71.53323476,,FALSE,FALSE,,,0.14,,,2017/07/05 15:20:57+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:20,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1106044,-71.53364145,41.1106044,-71.53364145,,FALSE,FALSE,,,0.14,,,2017/07/05 15:21:09+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:21,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11031606,-71.53413758,41.11031606,-71.53413758,,FALSE,FALSE,,,0.14,,,2017/07/05 15:21:24+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:21,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11003568,-71.53468701,41.11003568,-71.53468701,,FALSE,FALSE,,,0.62,,,2017/07/05 15:21:40+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:21,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.10971843,-71.53536502,41.10971843,-71.53536502,,FALSE,FALSE,,,1.58,,,2017/07/05 15:21:59+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:21,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1094394,-71.53602166,41.1094394,-71.53602166,,FALSE,FALSE,,,1.58,,,2017/07/05 15:22:17+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:22,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.10916547,-71.53664041,41.10916547,-71.53664041,,FALSE,FALSE,,,1.58,,,2017/07/05 15:22:34+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:22,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.10895341,-71.53715163,41.10895341,-71.53715163,,FALSE,FALSE,,,1.58,,,2017/07/05 15:22:48+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:22,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.10870983,-71.53774456,41.10870983,-71.53774456,,FALSE,FALSE,,,1.58,,,2017/07/05 15:23:04+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:23,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.10845461,-71.53825217,41.10845461,-71.53825217,,FALSE,FALSE,,,1.58,,,2017/07/05 15:23:19+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:23,,
