,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
379,6/23/16,ROST,F,379,6/23/16 6:00,6/23/16 6:00,64,57,78,29.92,10,0,,0,0,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
384,6/23/16,ROST,F,384,6/23/16 7:00,6/23/16 7:00,64,60.1,87,29.92,10,0,,0,0,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
389,6/23/16,ROST,F,389,6/23/16 8:00,6/23/16 8:00,66.9,55.9,68,29.94,10,4.6,,0,60,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
394,6/23/16,ROST,F,394,6/23/16 9:00,6/23/16 9:00,70,60.1,71,29.92,10,4.6,,0,80,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
399,6/23/16,ROST,F,399,6/23/16 10:00,6/23/16 10:00,71.1,59,66,29.91,10,6.9,,0,110,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
404,6/23/16,ROST,F,404,6/23/16 11:00,6/23/16 11:00,70,61,73,29.91,10,8.1,,0,140,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
409,6/23/16,ROST,F,409,6/23/16 12:00,6/23/16 12:00,72,61,68,29.9,10,6.9,,0,120,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
414,6/23/16,ROST,F,414,6/23/16 13:00,6/23/16 13:00,70,62.1,76,29.89,10,6.9,,0,150,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
419,6/23/16,ROST,F,419,6/23/16 14:00,6/23/16 14:00,72,64.9,78,29.87,10,10.4,,0,200,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
424,6/23/16,ROST,F,424,6/23/16 15:00,6/23/16 15:00,77,61,58,29.86,10,10.4,,0,220,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
429,6/23/16,ROST,F,429,6/23/16 16:00,6/23/16 16:00,73.9,64,71,29.86,10,10.4,,0,200,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
434,6/23/16,ROST,F,434,6/23/16 17:00,6/23/16 17:00,73.9,63,68,29.86,10,12.7,,0,210,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
439,6/23/16,ROST,F,439,6/23/16 18:00,6/23/16 18:00,72,63,73,29.86,10,11.5,,0,210,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
444,6/23/16,ROST,F,444,6/23/16 19:00,6/23/16 19:00,71.1,63,75,29.85,10,10.4,,0,210,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
449,6/23/16,ROST,F,449,6/23/16 20:00,6/23/16 20:00,69.1,62.1,78,29.86,10,9.2,,0,210,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
454,6/23/16,ROST,F,454,6/23/16 21:00,6/23/16 21:00,66.9,61,81,29.86,10,9.2,,0,220,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
459,6/23/16,ROST,F,459,6/23/16 22:00,6/23/16 22:00,66,61,84,29.89,10,8.1,,0,220,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
464,6/23/16,ROST,F,464,6/23/16 23:00,6/23/16 23:00,64.9,61,87,29.91,10,8.1,,0,240,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
469,6/24/16,ROST,F,469,6/24/16 0:00,6/24/16 0:00,64,60.1,87,29.91,10,5.8,,0,240,25,0,0,,,6/24/16,66.86956522,58.5173913,75.65217391,30.05826087,10,8.12173913,19.2,0,71.635459,0,0,,,,,,
474,6/24/16,ROST,F,474,6/24/16 1:00,6/24/16 1:00,63,60.1,90,29.91,10,0,,0,0,25,0,0,,,6/24/16,66.86956522,58.5173913,75.65217391,30.05826087,10,8.12173913,19.2,0,71.635459,0,0,,,,,,
479,6/24/16,ROST,F,479,6/24/16 2:00,6/24/16 2:00,63,60.1,90,29.91,10,0,,0,0,25,0,0,,,6/24/16,66.86956522,58.5173913,75.65217391,30.05826087,10,8.12173913,19.2,0,71.635459,0,0,,,,,,
